{X=1248,Y=795}
{X=1206,Y=834}
{X=1050,Y=925}
{X=946,Y=1067}
{X=887,Y=1129}
{X=887,Y=1129}
{X=875,Y=1137}
{X=1031,Y=1439}
{X=1051,Y=1439}
{X=1027,Y=1438}
{X=911,Y=1407}
{X=900,Y=1398}
{X=763,Y=1333}
{X=60,Y=1062}
{X=11,Y=1249}
{X=25,Y=1412}
{X=60,Y=1421}
{X=78,Y=1425}
{X=78,Y=1425}
{X=76,Y=1425}
{X=173,Y=1396}
{X=380,Y=1351}
{X=380,Y=1350}
{X=380,Y=1348}
{X=382,Y=1356}
{X=909,Y=1255}
{X=1584,Y=946}
{X=1597,Y=933}
{X=1597,Y=933}
{X=1626,Y=775}
{X=1587,Y=781}
{X=1540,Y=805}
{X=1538,Y=806}
{X=1537,Y=806}
{X=1524,Y=817}
{X=1519,Y=821}
{X=1519,Y=821}
{X=1519,Y=821}
{X=1519,Y=821}
{X=1460,Y=839}
{X=851,Y=703}
{X=717,Y=640}
{X=682,Y=622}
{X=680,Y=620}
{X=692,Y=618}
{X=1092,Y=616}
{X=1226,Y=605}
{X=1229,Y=599}
{X=1253,Y=594}
{X=1302,Y=579}
{X=1302,Y=579}
{X=1297,Y=581}
{X=1297,Y=581}
{X=1295,Y=582}
{X=1294,Y=582}
{X=1127,Y=535}
{X=940,Y=200}
{X=821,Y=0}
{X=798,Y=0}
{X=740,Y=29}
{X=714,Y=41}
{X=667,Y=44}
{X=638,Y=49}
{X=638,Y=49}
{X=646,Y=49}
{X=646,Y=49}
